Account,User Name,Followers at Posting,Created,Type,Likes,Comments,Views,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Comments 1x ),Overperforming Score
Secretaría de Marina,semar_mx,231261,2021-01-16 08:05:17 CST,Photo,7892,8,0,https://www.instagram.com/p/CKG8tCahjdW/,https://www.instagram.com/p/CKG8tCahjdW/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/139050972_3460054794123719_7404618255987792734_n.jpg?_nc_cat=110&ccb=3&_nc_sid=8ae9d6&_nc_ohc=4ECMlJETDMgAX8WK5zo&_nc_oc=AQk1Y57Loc2LotO02zIxgOvp66k-Zq-CYPFxxgJwsobZdJH6GTEZZuHXI0radDAO2VQ&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=958725c22ea5f370c12e86a65e622c5f&oe=605A2EE1,,"#InfanteDeMarina, hombre que con Honor, Deber, Lealtad y Patriotismo rige su actuar #ParaServirAMéxico.

¡Todo por la Patria!

#InfanteríaDeMarina

#SEMAR

#ArmadaDeMéxico

#SecretaríaDeMarina",,,,"7,900","7,900",2.04
Secretaría de Marina,semar_mx,237129,2021-02-04 08:05:21 CST,Photo,7818,17,0,https://www.instagram.com/p/CK330JpsaBk/,https://www.instagram.com/p/CK330JpsaBk/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/145394031_137677804866508_4251989461328905656_n.jpg?_nc_cat=103&ccb=2&_nc_sid=8ae9d6&_nc_ohc=DoDHOr9x-7cAX97Qpvg&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=954eee7f59a48adda069d7ed8300a279&oe=6042DD75,,"Nos sentimos orgullosos de ser #InfantesDeMarina leales al pueblo de México.

#BuenosDías #FamiliaNaval

#ArmadaDeMéxico",,,,"7,835","7,835",2.02
Secretaría de Marina,semar_mx,229702,2021-01-11 08:01:45 CST,Photo,7815,16,0,https://www.instagram.com/p/CJ6EUuFBRvY/,https://www.instagram.com/p/CJ6EUuFBRvY/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/136975269_160661179149292_5877172752968191447_n.jpg?_nc_cat=106&ccb=3&_nc_sid=8ae9d6&_nc_ohc=MjLcU5XD8OgAX8Cgf8w&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=6ab8f50212f56bc5c0c3c09ca73f5971&oe=60594EB3,,"Todos los días despertamos motivados #ParaServirAMéxico, y con el mismo entusiasmo les deseamos un #FelizLunes

#ArmadaDeMéxico
#InfateríaDeMarina",,,,"7,831","7,831",2.05
Secretaría de Marina,semar_mx,184319,2020-05-19 08:09:40 CDT,Photo,7690,18,0,https://www.instagram.com/p/CAXt91XBDhC/,https://www.instagram.com/p/CAXt91XBDhC/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/99116930_182333253013600_5648847522695583229_n.jpg?_nc_cat=107&ccb=3&_nc_sid=8ae9d6&_nc_ohc=YzNTfMf24n8AX8TD6cA&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=5a1ed014d82c934a84aaa736ec6155df&oe=605A41D0,,"Las prácticas de tiro son fundamentales en nuestra formación, pues como marinos mexicanos siempre estaremos listos #ParaServirAMéxico
.
.
.

#ArmadaDeMéxico
.
.
.

#InfanteríaDeMarina
.
.
.

#SoyNaval",,,,"7,708","7,708",2.22
Secretaría de Marina,semar_mx,170326,2020-03-31 07:49:37 CST,Photo,7655,31,0,https://www.instagram.com/p/B-ZnllthdfL/,https://www.instagram.com/p/B-ZnllthdfL/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/91457800_167118901050051_6695310643926029580_n.jpg?_nc_cat=110&ccb=3&_nc_sid=8ae9d6&_nc_ohc=J46cY4HfrlIAX81W-A4&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=db38a97f6788eccab021badd9a522c03&oe=605B9659,,"Sin temor a nada, los #InfantesDeMarina llevan al máximo sus capacidades con un solo objetivo que es: 
#ParaServirAMéxico.",,,,"7,686","7,686",2.21
Secretaría de Marina,semar_mx,240036,2021-02-19 12:12:46 CST,Photo,7638,9,0,https://www.instagram.com/p/CLe8DYvsH0X/,https://www.instagram.com/p/CLe8DYvsH0X/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/151300738_230515968743317_3220528914707196135_n.jpg?_nc_cat=110&ccb=3&_nc_sid=8ae9d6&_nc_ohc=wt0QUAaUkxAAX_B-sFz&_nc_oc=AQnK5pxb-_Jm9btyLj1zU2w4FYii8mCj8WT0j5Fh_wf_XCmHAIalxtZlJwOUf3P_0rA&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=9660443051609a9872360db0fb973f59&oe=6055DF20,,"#BuenosDías #FamiliaNaval

Los #InfantesDeMarina les deseamos un excelente #FinDeSemana

#ParaServirAMéxico",,,,"7,647","7,647",1.98
Secretaría de Marina,semar_mx,162128,2020-03-04 08:21:41 CST,Photo,7517,23,0,https://www.instagram.com/p/B9UJy5bh2az/,https://www.instagram.com/p/B9UJy5bh2az/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/89272824_654422091766461_7289625543716108531_n.jpg?_nc_cat=106&ccb=3&_nc_sid=8ae9d6&_nc_ohc=osZv1otaFKwAX-bOMd4&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=54e8cf5b46509bb42122a051f66a7356&oe=605A1DDE,,"El pertenecer al Cuerpo de #InfanteríaDeMarina me ha demostrado que mis capacidades no tienen límites.

#SoyMujer #SoyNaval y estoy #ParaServirAMéxico 
#FelizMiércoles 
#SEMAR
#SecretaríadeMarina
#ArmadaDeMéxico",,,,"7,540","7,540",2.17
Secretaría de Marina,semar_mx,218340,2020-11-08 08:00:05 CST,Photo,7485,25,0,https://www.instagram.com/p/CHVRQkUM9YE/,https://www.instagram.com/p/CHVRQkUM9YE/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/124198918_204878251016407_3662805184922075087_n.jpg?_nc_cat=111&ccb=3&_nc_sid=8ae9d6&_nc_ohc=4u1Og9JqkBoAX9KLgiq&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=22fa2263b13329bb4c5436f81065d82f&oe=605AC9C9,,"#InfantesDeMarina siempre leales y dispuestos #ParaServirAMéxico.

#SoyNaval
#FelizDomingo
#ArmadaDeMéxico
#Semar",,,,"7,510","7,510",2.07
Secretaría de Marina,semar_mx,223455,2020-12-04 08:31:42 CST,Photo,7434,22,0,https://www.instagram.com/p/CIYRi15smx2/,https://www.instagram.com/p/CIYRi15smx2/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/129345658_452273179505252_9064967340627775028_n.jpg?_nc_cat=107&ccb=3&_nc_sid=8ae9d6&_nc_ohc=ZcAvWJoTO2AAX-Otw3j&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=1bb3a0743038ddfd1aaf87d88f946911&oe=605D0B29,,"Tripulación del Buque ARM Sonora con Honor y Lealtad  surca nuestros mares #ParaServirAMéxico y les desea #FelizViernes.
#SecretaríaDeMarina
#ArmadaDeMéxico",,,,"7,456","7,456",2.03
Secretaría de Marina,semar_mx,227690,2021-01-02 08:03:36 CST,Photo,7388,33,0,https://www.instagram.com/p/CJi5YdOhm0o/,https://www.instagram.com/p/CJi5YdOhm0o/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/134739639_793171764568277_9135230705741893033_n.jpg?_nc_cat=110&ccb=3&_nc_sid=8ae9d6&_nc_ohc=ILmv03Vqh50AX-sUyu8&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=fd89ceb44742b7c524cab8f338e0d41f&oe=605ABB6E,,"Con la mejor actitud #ParaServirAMéxico, Evil les desea #FelizSábado.
.
.
.

#SEMAR
.
.
.

#ArmadaDeMéxico
.
.
.

#SecretaríaDeMarina
.
.
.

#SoyNaval",,,,"7,421","7,421",1.95
Secretaría de Marina,semar_mx,232373,2021-01-19 07:47:29 CST,Photo,7290,25,0,https://www.instagram.com/p/CKOpDLfMkOR/,https://www.instagram.com/p/CKOpDLfMkOR/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/139900210_239668814421866_1192375668029312918_n.jpg?_nc_cat=110&ccb=3&_nc_sid=8ae9d6&_nc_ohc=t1logMSjn0oAX_kwDgm&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=4ec2054373ddea0fd82b384544dcd86d&oe=605AF3C2,,"Nuestros #BinomiosCaninos están listos para iniciar su adiestramiento. Desde el campo de entrenamiento les deseamos un #FelizMartes
#ParaServirAMéxico
#SecretaríaDeMarina
#ArmadaDeMéxico
#SEMAR
#CaninosNavales
#PerrosDeInstagram",,,,"7,315","7,315",1.89
Secretaría de Marina,semar_mx,185116,2020-05-23 08:06:32 CDT,Photo,7260,21,0,https://www.instagram.com/p/CAiAyepBcPT/,https://www.instagram.com/p/CAiAyepBcPT/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/100946704_3825608200846661_1239199980805206889_n.jpg?_nc_cat=102&ccb=3&_nc_sid=8ae9d6&_nc_ohc=VUrVdt9QIvoAX87n5LX&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=1e02739850cc0478967215e1cfc1dbf5&oe=605CD452,,"Orgullosos de ser marinos mexicanos y siempre motivados para velar por tu seguridad. Desde el campo de entrenamiento les deseamos un #FelizSábado. ¡Fibra!
.
.
.

#ArmadaDeMéxico
.
.
.

#SecretaríaDeMarina
.
.
.

#SEMAR",,,,"7,281","7,281",2.1
Secretaría de Marina,semar_mx,163708,2020-03-10 08:05:57 CST,Photo,7105,21,0,https://www.instagram.com/p/B9jkw5yBQsT/,https://www.instagram.com/p/B9jkw5yBQsT/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/87574200_3016377065087747_3667577526783100735_n.jpg?_nc_cat=106&ccb=3&_nc_sid=8ae9d6&_nc_ohc=3rKxS3VS0UkAX_SHtBi&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=49fdadf37a8056c161ebc532fa2c156a&oe=605BC1EB,,"Con disciplina  y gallardía nuestras cadetes se preparan #ParaServirAMéxico . . .

#FelizMartes

#Semar

#ArmadaDeMéxico

#SecretaríaDeMarina",,,,"7,126","7,126",2.05
Secretaría de Marina,semar_mx,197509,2020-07-28 08:01:11 CDT,Photo,7047,28,0,https://www.instagram.com/p/CDL8o8eBh00/,https://www.instagram.com/p/CDL8o8eBh00/,https://scontent-sjc3-1.cdninstagram.com/v/t51.29350-15/115951938_755729811861112_6063098284654641691_n.jpg?_nc_cat=101&ccb=3&_nc_sid=8ae9d6&_nc_ohc=fGXgyYC43esAX-UB07f&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=254e7089539815588a65e939b2891502&oe=6059C338,,"Ser cadete naval es un estilo de vida y estamos dispuestos a todo por servir a México.

#SomosMarinos

#SomosNavales

#LealesAMéxico

…

#SEMAR

#ArmadaDeMéxico",,,,"7,075","7,075",2.04
Secretaría de Marina,semar_mx,174643,2020-04-14 08:04:58 CDT,Photo,7049,25,0,https://www.instagram.com/p/B-9lmy-hJTR/,https://www.instagram.com/p/B-9lmy-hJTR/,https://scontent-sjc3-1.cdninstagram.com/v/t51.2885-15/92828387_276496173366598_5526518688748974659_n.jpg?_nc_cat=111&ccb=3&_nc_sid=8ae9d6&_nc_ohc=-R5hAfneSC4AX_MvGsf&_nc_ht=scontent-sjc3-1.cdninstagram.com&oh=af635b1ab114f582548d99aa417aea09&oe=605BB7C9,,"Sin duda, la decisión que determinó mi carrera como infante de marina fue el servir a mi Patria y saber que aún sigue siendo el motivo más grande que me impulsa a seguir día con día, es una gran inspiración. 
#SoyNaval y estoy hecho #ParaServirAMéxico
#FelizMartes
#ArmadaDeMéxico
#SEMAR
#SecretaríaDeMarina
#InfanteDeMarina",,,,"7,074","7,074",2.04
Secretaría de Marina,semar_mx,216542,2020-10-25 08:13:58 CST,Photo,6976,15,0,https://www.instagram.com/p/CGxPt5Nhsmn/,https://www.instagram.com/p/CGxPt5Nhsmn/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/122781445_4582017928538443_4128630737188777990_n.jpg?_nc_cat=105&ccb=2&_nc_sid=8ae9d6&_nc_ohc=ItHOKI43-0IAX9GqdYF&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=2729714c92ce0748be6163d07339752e&oe=5FBA0510,,"#InfantesDeMarina fieles guardianes de la Patria te desean ...
#FelizDomingo

#SoyNaval 
#ParaServirAMéxico
#ArmadaDeMéxico
#SEMAR",,,,"6,991","6,991",1.98
Secretaría de Marina,semar_mx,227460,2020-12-31 08:00:34 CST,Photo,6890,21,0,https://www.instagram.com/p/CJdvcZyhyeV/,https://www.instagram.com/p/CJdvcZyhyeV/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/133730159_1033001617211300_4625074048056414577_n.jpg?_nc_cat=101&ccb=2&_nc_sid=8ae9d6&_nc_ohc=QvT6Bi7QGmUAX9s-gp3&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=acd12c5d13e5f1de67433c3d87b987bf&oe=6013BEDE,,"Por el honor de servir a #México y a nuestros conciudadanos, les deseamos un #FelizAñoNuevo.

#2021

#FelizJueves

#ParaServirAMéxico

#SEMAR

#ArmadaDeMéxico

#SecretaríaDeMarina

#SoyNaval",,,,"6,911","6,911",1.82
